ID,Storm_Name,Year,Tier,Overall,Category,peak_wind_mph,min_pressure_mb,ace,duration_hours,fatalities,wind_pct,pres_pct,ace_pct,dur_pct,fat_pct,image_url
AL031955,DIANE,1955,Gold,80,2,104,969,19.48,336,184,77,79.3,85.8,96.2,84.4,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/Hurricane_Diane_weather_map%2C_August_13%2C_1955.jpg/1280px-Hurricane_Diane_weather_map%2C_August_13%2C_1955.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL021963,BEULAH,1963,Gold,80,3,121,958,21.57,282,,86.3,85.7,88.1,90.8,50,https://upload.wikimedia.org/wikipedia/commons/5/5f/Beulah1963tirosVII.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL081963,GINNY,1963,Gold,80,2,109,948,24.55,264,,82.3,91.3,90.4,89.3,50,https://upload.wikimedia.org/wikipedia/commons/3/32/63tirosvii_19.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL121967,CHLOE,1967,Gold,80,2,109,958,31.67,372,,82.3,85.6,95.4,98,50,https://upload.wikimedia.org/wikipedia/commons/4/47/ChloeSep141967ESSA5.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL201969,INGA,1969,Gold,80,2,109,964,24.89,540,,82.6,82.1,90.6,99.9,50,https://upload.wikimedia.org/wikipedia/commons/0/05/Inga_1969-10-05_1450Z.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL091974,BECKY,1974,Gold,80,4,132,977,14.77,138,,92,68.3,80.3,62.7,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bf/Becky_1974-08-30_1500Z_%28Colored%29.png/1280px-Becky_1974-08-30_1500Z_%28Colored%29.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL181981,IRENE,1981,Gold,80,3,121,959,23.25,240,,87.6,84.9,89.5,86.2,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/Irene_1981-09-28_1830Z.png/1280px-Irene_1981-09-28_1830Z.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL101984,DIANA,1984,Gold,80,4,132,949,15.54,186,3,92.6,90.7,81.1,75.4,16.5,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/Diana_1984-09-11_2200Z.png/1280px-Diana_1984-09-11_2200Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL081990,GUSTAV,1990,Gold,80,3,121,956,23.25,222,,88.4,87.8,89.5,82.8,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e6/Gustav_1990-08-30_2130Z.png/1280px-Gustav_1990-08-30_2130Z.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL101995,IRIS,1995,Gold,80,2,109,957,27.04,378,,81.3,87.4,92.6,98.2,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/Iris_1995-08-31_1815Z.jpg/1280px-Iris_1995-08-31_1815Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
